"Reference","Value","Footprint","Datasheet","Qty","DNP","Exclude from BOM","Exclude from Board"
"C4,C7","10uF","wearable-e-inks:C1206","https://item.szlcsc.com/89171.html","2","","",""
"C5,C6,C8","100nF","wearable-e-inks:C1206","https://item.szlcsc.com/89171.html","3","","",""
"LED1","RED LED","wearable-e-inks:LED1206-R-RD_RED","https://item.szlcsc.com/73803.html","1","","",""
"R4,R5,R6,R7,R8,R9,R13","5.1k","wearable-e-inks:R1206","https://item.szlcsc.com/311874.html","7","","",""
"R10,R11,R12","220Ohm","wearable-e-inks:R1206","https://item.szlcsc.com/311874.html","3","","",""
"U1,U8","4*4*1_7","wearable-e-inks:SW-SMD_4P-L5.2-W5.2-P3.70-LS6.5","https://lcsc.com/product-detail/Tactile-Switches_BOOMELE-Boom-Precision-Elec-4-4-1-7_C10852.html","2","","",""
"U3","CH340C_USB","wearable-e-inks:SOP-16_L10.0-W3.9-P1.27-LS6.0-BL","https://item.szlcsc.com/391677.html","1","","",""
"U4","~","wearable-e-inks:8pinheader","","1","","",""
"U5","ESP-12F(ESP8266MOD)","wearable-e-inks:WIFIM-SMD_ESP-12F-ESP8266MOD","https://item.szlcsc.com/84052.html","1","","",""
"U6","TYPE-C","wearable-e-inks:USB-C_SMD-TYPE-C-31-M-12_1","https://item.szlcsc.com/datasheet/TYPE-C-31-M-12/177331.html?spm=sc.gbn.xds.a___sc.gbn.hd.ss&lcsc_vid=RgMNUVYEQARbV1xTElVcVwIAFFBXVwBfEQdfX1UCRAcxVlNTQFBcUlFXT1hYVTsOAxUeFF5JWA0NAgAHWQIASA%3D%3D","1","","",""
"U7","LDO","wearable-e-inks:SOT-23-LDO","https://item.szlcsc.com/14454.html","1","","",""
"U9,U10","NPN","wearable-e-inks:SOT-23-LDO","https://www.diodes.com/assets/Package-Files/SOT23.pdf","2","","",""
